id,text,providers,costMin,costMax,happinessMin,happinessMax
h1k4,“The night market is staging something special this weekend: a neon drone show synchronized to live music, plus hands-on creative workshops. Alex could use a dose of electric wonder for {{cost}}.”,NeonGrid|PulseArcade Collective,18,80,1,5
j7m9,“A pop-up experimental cooking lab invites Alex to experience a five-course tasting menu paired with hands-on lessons. It’s molecular gastronomy meets dinner theater for {{cost}}.”,SavoryLab|Kitchen Playground,25,120,2,5
u5w4,“A VR art collective is hosting a mindfulness residency where participants paint in virtual space while guided through meditation. The future is weird and wonderful, and it costs {{cost}}.”,Atlas VR|CalmFields,30,140,2,5
v6x2,“A lakefront yoga retreat has one spot left for their weekend intensive. Dawn sessions on the dock, sunset meditation, and the kind of peace Alex didn’t know they needed—all for {{cost}}.”,StillWater|ZenCanopy,40,160,2,5
a5b8,“An underground speakeasy is hosting a jazz and cocktail pairing night. Password required, vintage attire encouraged, and {{cost}} gets Alex through the hidden door.”,Velvet Underground|Jazz & Rye,35,90,2,6
c2d9,“A local theater troupe is staging an immersive mystery play where the audience solves the crime. Dinner included, suspense guaranteed, {{cost}} to play detective.”,Mystery Stage Co.|Whodunit Players,45,110,3,6
e7f3,“A storytelling slam invites Alex to share a 5-minute true story on stage—or just watch others bare their souls. Entry is {{cost}} and includes two drink tickets and a lot of courage.”,Story Hour Collective|True Tales Theater,12,35,2,5
g4h1,“An artisan chocolate maker is teaching a bean-to-bar workshop. Alex will roast, grind, and temper their own chocolate bar for {{cost}}, then probably eat it immediately.”,CocoaCraft Studio|Chocolate Alchemy,50,95,3,6
i9j6,“A botanical garden is hosting a twilight lantern walk with live traditional music and tea ceremony demonstrations. The ticket costs {{cost}} and promises enchantment.”,Moonlit Gardens|Lantern Path Society,28,75,2,5
k6l2,“An indie film festival is screening rare international films all weekend. Alex can get an all-access pass for {{cost}} and disappear into other worlds.”,CineQuest Festival|Global Stories Collective,40,85,2,6
m1n7,“A silent disco in the park lets participants dance with wireless headphones under the stars. Three DJ channels, zero noise complaints, {{cost}} to join the surreal party.”,Quiet Riot Events|Headphone Haven,15,40,2,4
o8p4,“A pottery studio is hosting a ‘throw and sip’ night where Alex can make a bowl while enjoying wine and good company. Messy hands, creative minds, {{cost}} for the experience.”,Muddy Hands Studio|Clay & Wine,35,70,2,5
q3r9,“A local author is giving an intimate reading and Q&A at a cozy bookstore. Limited seats, signed books available, and {{cost}} includes coffee and conversation.”,Bookmark Cafe|Literati Lounge,15,35,1,4
s5t1,“An outdoor adventure company is leading a moonlit kayak trip with bioluminescent plankton. Nature’s light show on the water for {{cost}}.”,Tidewater Adventures|NightPaddle Co.,55,120,3,7
u2v8,“A rooftop cinema is screening cult classics with a live comedy commentary track. Bring blankets, expect laughter, {{cost}} for admission.”,SkyView Pictures|Laugh Track Cinema,20,50,2,5
w7x3,“A vintage arcade is hosting a high score championship with prizes and glory. Entry is {{cost}} and includes unlimited play all night.”,Pixel Palace|RetroGame Arena,18,45,2,4
y4z9,“A botanical cocktail class teaches Alex to forage, mix, and muddle drinks using herbs and edible flowers. Sip your creations for {{cost}}.”,Garden Bar Academy|Herbology Mixology,40,85,2,5
